Date,Adj Close,Close,High,Low,Open,Volume
2022-07-12,79.47779846191406,79.47779846191406,79.86029815673828,79.38849639892578,79.47779846191406,0
2022-07-13,79.47640228271484,79.47640228271484,80.05950164794922,79.42500305175781,79.47640228271484,0
2022-07-14,79.80750274658203,79.80750274658203,80.21869659423828,79.59809875488281,79.80750274658203,0
2022-07-15,79.87830352783203,79.87830352783203,80.0895004272461,79.70800018310547,79.87830352783203,0
2022-07-18,79.72049713134766,79.72049713134766,80.25599670410156,79.71369934082031,79.72049713134766,0
2022-07-19,80.0302963256836,80.0302963256836,80.14849853515625,79.85260009765625,80.0302963256836,0
2022-07-20,79.85590362548828,79.85590362548828,80.11849975585938,79.85590362548828,79.85590362548828,0
2022-07-21,80.00340270996094,80.00340270996094,80.27100372314453,79.76100158691406,80.00340270996094,0
2022-07-22,79.7759017944336,79.7759017944336,80.07649993896484,79.779296875,79.7759017944336,0
2022-07-25,79.87680053710938,79.87680053710938,80.1447982788086,79.68609619140625,79.87680053710938,0
2022-07-26,79.72250366210938,79.72250366210938,79.84220123291016,79.70249938964844,79.72250366210938,0
2022-07-27,79.84120178222656,79.84120178222656,80.07080078125,79.74749755859375,79.84120178222656,0
2022-07-28,79.84739685058594,79.84739685058594,80.05729675292969,79.59739685058594,79.84739685058594,0
2022-07-29,79.57150268554688,79.57150268554688,79.65650177001953,79.17369842529297,79.57150268554688,0
2022-08-01,79.1948013305664,79.1948013305664,79.42980194091797,78.89939880371094,79.1948013305664,0
2022-08-02,78.95570373535156,78.95570373535156,79.16999816894531,77.77429962158203,78.95570373535156,0
2022-08-03,78.60449981689453,78.60449981689453,79.20330047607422,78.56800079345703,78.60449981689453,0
2022-08-04,79.11830139160156,79.11830139160156,79.80000305175781,79.00849914550781,79.11830139160156,0
2022-08-05,79.15489959716797,79.15489959716797,79.49199676513672,78.91850280761719,79.15489959716797,0
2022-08-08,79.41059875488281,79.41059875488281,79.75700378417969,79.31300354003906,79.41059875488281,0
2022-08-09,79.60189819335938,79.60189819335938,79.814697265625,79.44210052490234,79.60189819335938,0
2022-08-10,79.57839965820312,79.57839965820312,79.75450134277344,79.00700378417969,79.57839965820312,0
2022-08-11,79.0978012084961,79.0978012084961,79.79229736328125,79.04949951171875,79.0978012084961,0
2022-08-12,79.61399841308594,79.61399841308594,79.93699645996094,79.55599975585938,79.61399841308594,0
2022-08-15,79.62760162353516,79.62760162353516,79.72850036621094,79.4708023071289,79.62760162353516,0
2022-08-16,79.55290222167969,79.55290222167969,79.77999877929688,79.26100158691406,79.55290222167969,0
2022-08-17,79.14600372314453,79.14600372314453,79.68509674072266,79.14600372314453,79.14600372314453,0
2022-08-18,79.35970306396484,79.35970306396484,79.86250305175781,79.33650207519531,79.35970306396484,0
2022-08-19,79.7667007446289,79.7667007446289,80.11250305175781,79.65709686279297,79.7667007446289,0
2022-08-22,79.91790008544922,79.91790008544922,80.15480041503906,79.76200103759766,79.91790008544922,0
2022-08-23,79.88379669189453,79.88379669189453,80.0979995727539,79.50299835205078,79.88379669189453,0
2022-08-24,79.85449981689453,79.85449981689453,80.08499908447266,79.69889831542969,79.85449981689453,0
2022-08-25,79.79679870605469,79.79679870605469,80.02629852294922,79.73739624023438,79.79679870605469,0
2022-08-26,79.88289642333984,79.88289642333984,80.13349914550781,79.71600341796875,79.88289642333984,0
2022-08-29,79.95909881591797,79.95909881591797,80.12950134277344,79.87339782714844,79.95909881591797,0
